SnP_ESG_Company,SnP_ESG_Score,SnP_ESG_Country,SnP_ESG_Industry,SnP_ESG_Ticker,ESG_environment,ESG_social,ESG_governance
Fortive Corporation ESG Score,38,Location: United States of America,Industry: IEQ Machinery and Electrical Equipment,Ticker: FTV,35,34,46
"American Water Works Company, Inc. ESG Score",48,Location: United States of America,Industry: MUW Multi and Water Utilities,Ticker: AWK,40,56,52
Huntington Bancshares Incorporated ESG Score,48,Location: United States of America,Industry: BNK Banks,Ticker: HBAN,51,45,49
CDW Corporation ESG Score,30,Location: United States of America,"Industry: ITC Electronic Equipment, Instruments & Components",Ticker: CDW,27,29,36
Synchrony Financial ESG Score,40,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: SYF,21,38,48
Devon Energy Corporation ESG Score,50,Location: United States of America,Industry: OGX Oil & Gas Upstream & Integrated,Ticker: DVN,46,42,61
DTE Energy Company ESG Score,35,Location: United States of America,Industry: MUW Multi and Water Utilities,Ticker: DTE,36,24,44
"NetApp, Inc. ESG Score",48,Location: United States of America,Industry: THQ Computers & Peripherals and Office Electronics,Ticker: NTAP,57,38,48
"Rollins, Inc. ESG Score",19,Location: United States of America,Industry: ICS Commercial Services & Supplies,Ticker: ROL,10,14,29
Archer-Daniels-Midland Company ESG Score,43,Location: United States of America,Industry: FOA Food Products,Ticker: ADM,50,37,39
Ameren Corporation ESG Score,35,Location: United States of America,Industry: MUW Multi and Water Utilities,Ticker: AEE,32,36,41
PPL Corporation ESG Score,40,Location: United States of America,Industry: ELC Electric Utilities,Ticker: PPL,43,31,47
Biogen Inc. ESG Score,69,Location: United States of America,Industry: BTC Biotechnology,Ticker: BIIB,47,77,67
Hubbell Incorporated ESG Score,54,Location: United States of America,Industry: ELQ Electrical Components & Equipment,Ticker: HUBB,41,57,66
FirstEnergy Corp. ESG Score,36,Location: United States of America,Industry: ELC Electric Utilities,Ticker: FE,39,32,37
Regions Financial Corporation ESG Score,47,Location: United States of America,Industry: BNK Banks,Ticker: RF,42,44,51
"West Pharmaceutical Services, Inc. ESG Score",36,Location: United States of America,Industry: LIF Life Sciences Tools & Services,Ticker: WST,40,28,41
Cincinnati Financial Corporation ESG Score,24,Location: United States of America,Industry: INS Insurance,Ticker: CINF,15,19,30
SBA Communications Corporation ESG Score,54,Location: United States of America,Industry: REI Equity Real Estate Investment Trusts (REITs),Ticker: SBAC,46,60,56
"Expedia Group, Inc. ESG Score",37,Location: United States of America,"Industry: TRT Hotels, Resorts & Cruise Lines",Ticker: EXPE,39,33,41
PTC Inc. ESG Score,42,Location: United States of America,Industry: SOF Software,Ticker: PTC,30,41,51
W. R. Berkley Corporation ESG Score,26,Location: United States of America,Industry: INS Insurance,Ticker: WRB,23,21,31
Waters Corporation ESG Score,61,Location: United States of America,Industry: LIF Life Sciences Tools & Services,Ticker: WAT,65,69,50
