MSCI_Company,MSCI_ESG_Rating,MSCI_Environment_Flag,MSCI_Social_Flag,MSCI_Governance_Flag,MSCI_Customer_Flag,MSCI_Human_Rights_Flag,MSCI_Labor_Rights_Flag
"Arista Networks, Inc.",AA,Green,Green,Green,Green,Green,Green
"Fiserv, Inc.",A,Green,Green,Green,Green,Green,Green
"Gilead Sciences, Inc.",AAA,Green,Orange,Green,Orange,Green,Green
"Micron Technology, Inc.",A,Green,Green,Green,Green,Green,Green
"NIKE, Inc.",BB,Green,Orange,Green,Green,Green,Orange
Chubb Limited,BBB,Green,Green,Green,Green,Green,Green
Starbucks Corporation,A,Green,Orange,Green,Yellow,Green,Orange
"United Parcel Service, Inc.",BBB,Green,Orange,Green,Yellow,Orange,Orange
"Marsh & McLennan Companies, Inc.",AA,Green,Green,Green,Green,Green,Green
"Analog Devices, Inc.",A,Green,Green,Green,Green,Green,Green
The Boeing Company,BB,Green,Orange,Orange,Orange,Yellow,Green
Deere & Company,AA,Green,Yellow,Green,Yellow,Green,Yellow
"Prologis, Inc.",A,Green,Green,Green,Green,Green,Green
Intel Corporation,AAA,Green,Yellow,Green,Yellow,Green,Green
Lam Research Corporation,AAA,Green,Green,Green,Green,Green,Green
The Sherwin-Williams Company,A,Green,Green,Green,Green,Green,Green
The Southern Company,A,Green,Yellow,Yellow,Yellow,Yellow,Green
Dell Technologies Inc.,A,Green,Yellow,Green,Green,Green,Yellow
"Elevance Health, Inc.",AAA,Green,Green,Yellow,Green,Green,Green
The Cigna Group,AA,Green,Orange,Green,Orange,Green,Green
Trane Technologies plc,AAA,Green,Yellow,Green,Yellow,Green,Yellow
"Altria Group, Inc.",A,Green,Orange,Orange,Orange,Green,Green
Cintas Corporation,A,Green,Yellow,Green,Yellow,Green,Green
American Tower Corporation,AAA,Green,Green,Green,Green,Green,Green
"Regeneron Pharmaceuticals, Inc.",A,Green,Green,Yellow,Green,Green,Green
"Waste Management, Inc.",A,Green,Yellow,Green,Green,Green,Yellow
Parker-Hannifin Corporation,BBB,Green,Green,Green,Green,Green,Green
"Intercontinental Exchange, Inc.",AA,Green,Green,Green,Green,Green,Green
GE Vernova Inc.,A,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"Mondelez International, Inc.",A,Orange,Yellow,Green,Green,Green,Yellow
KLA Corporation,A,Green,Green,Green,Green,Green,Green
"HCA Healthcare, Inc.",A,Green,Yellow,Green,Yellow,Green,Yellow
"Equinix, Inc.",AA,Green,Green,Yellow,Green,Green,Green
Amphenol Corporation,BBB,Green,Green,Green,Green,Green,Green
"PayPal Holdings, Inc.",A,Green,Yellow,Green,Yellow,Green,Green
Duke Energy Corporation,AA,Green,Yellow,Green,Yellow,Yellow,Green
Moody's Corporation,AA,Green,Green,Green,Green,Green,Green
General Dynamics Corporation,A,Green,Yellow,Green,Green,Yellow,Yellow
"Synopsys, Inc.",AA,Green,Green,Green,Green,Green,Green
Welltower Inc.,AA,Green,Green,Green,Green,Green,Green
"CrowdStrike Holdings, Inc.",BB,Green,Yellow,Green,Yellow,Green,Green
"The PNC Financial Services Group, Inc.",AA,Green,Green,Green,Green,Green,Green
"Airbnb, Inc.",BB,Green,Yellow,Yellow,Yellow,Green,Green
"Motorola Solutions, Inc.",AA,Green,Green,Green,Green,Green,Green
Aon plc,A,Green,Yellow,Green,Yellow,Green,Green
"Chipotle Mexican Grill, Inc.",BBB,Green,Yellow,Green,Green,Green,Yellow
"Cadence Design Systems, Inc.",AA,Green,Green,Green,Green,Green,Green
CME Group Inc.,BBB,Green,Green,Green,Green,Green,Green
Illinois Tool Works Inc.,A,Green,Green,Green,Green,Green,Green
"Marriott International, Inc.",BBB,Green,Orange,Green,Orange,Yellow,Yellow
Zoetis Inc.,AAA,Green,Yellow,Green,Yellow,Green,Green
McKesson Corporation,AA,Green,Green,Yellow,Green,Green,Green
Northrop Grumman Corporation,A,Green,Orange,Yellow,Green,Yellow,Orange
TransDigm Group Incorporated,BB,Green,Yellow,Green,Green,Green,Yellow
"Fortinet, Inc.",BBB,Green,Green,Green,Green,Green,Green
"EOG Resources, Inc.",A,Green,Yellow,Green,Yellow,Green,Yellow
Colgate-Palmolive Company,A,Orange,Yellow,Green,Green,Green,Yellow
Emerson Electric Co.,BBB,Green,Green,Green,Green,Green,Green
Target Corporation,AA,Green,Yellow,Green,Yellow,Green,Green
"O'Reilly Automotive, Inc.",BBB,Green,Green,Green,Green,Green,Green
Constellation Energy Corporation,BBB,Green,Yellow,Green,Green,Green,Yellow
Capital One Financial Corporation,A,Green,Yellow,Green,Yellow,Green,Green
3M Company,AAA,Yellow,Orange,Green,Orange,Orange,Green
Ecolab Inc.,AAA,Yellow,Yellow,Green,Green,Yellow,Green
FedEx Corporation,A,Green,Orange,Green,Yellow,Orange,Orange
CSX Corporation,AA,Green,Yellow,Green,Yellow,Yellow,Green
