LSEG_ESG_Company,LSEG_ESG_Score,LSEG_Environment,LSEG_Social,LSEG_Governance
Walmart Inc.,81,79,76,92
JPMorgan Chase & Co.,78,90,77,80
Visa Inc.,65,50,76,60
UnitedHealth Group Incorporated,79,74,71,90
Exxon Mobil Corporation,70,65,74,73
Oracle Corporation,48,78,75,16
Mastercard Incorporated,69,78,74,62
Costco Wholesale Corporation,70,86,46,80
"The Home Depot, Inc.",N/A,N/A,N/A,N/A
The Procter & Gamble Company,N/A,N/A,N/A,N/A
Johnson & Johnson,85,93,98,60
Bank of America Corporation,87,97,89,80
"Netflix, Inc.",40,36,56,28
"Salesforce, Inc.",N/A,N/A,N/A,N/A
AbbVie Inc.,73,66,94,46
"T-Mobile US, Inc.",58,79,63,31
Chevron Corporation,71,55,75,89
The Coca-Cola Company,N/A,N/A,N/A,N/A
"Merck & Co., Inc.",77,81,91,51
Wells Fargo & Company,75,90,76,72
"Cisco Systems, Inc.",83,70,89,83
"Advanced Micro Devices, Inc.",68,71,70,61
Adobe Inc.,70,76,78,62
"PepsiCo, Inc.",86,74,90,92
Accenture plc,82,78,78,86
Blackstone Inc.,N/A,N/A,N/A,N/A
Linde plc,89,96,94,66
"ServiceNow, Inc.",65,51,74,61
McDonald's Corporation,65,74,75,42
Morgan Stanley,69,73,73,67
Thermo Fisher Scientific Inc.,80,76,91,66
American Express Company,69,66,75,74
Abbott Laboratories,83,79,87,80
GE Aerospace,N/A,N/A,N/A,N/A
Intuit Inc.,82,80,90,76
International Business Machines Corporation,73,78,95,53
Texas Instruments Incorporated,77,97,85,40
Philip Morris International Inc.,87,94,89,78
"Intuitive Surgical, Inc.",60,48,44,86
Caterpillar Inc.,83,86,75,91
"The Goldman Sachs Group, Inc.",N/A,N/A,N/A,N/A
The Walt Disney Company,N/A,N/A,N/A,N/A
QUALCOMM Incorporated,80,69,85,85
Danaher Corporation,79,72,89,68
Verizon Communications Inc.,71,74,74,63
Comcast Corporation,69,69,68,70
Booking Holdings Inc.,56,59,45,71
RTX Corporation,N/A,N/A,N/A,N/A
Amgen Inc.,77,75,82,72
AT&T Inc.,82,79,92,62
S&P Global Inc.,85,79,85,89
"Applied Materials, Inc.",86,83,89,85
The Progressive Corporation,N/A,N/A,N/A,N/A
"BlackRock, Inc.",78,96,79,71
"Lowe's Companies, Inc.",80,70,86,78
"NextEra Energy, Inc.",72,81,69,60
Honeywell International Inc.,75,84,76,61
"Uber Technologies, Inc.",79,68,70,90
Pfizer Inc.,80,88,90,59
Stryker Corporation,79,59,79,87
Eaton Corporation plc,N/A,N/A,N/A,N/A
Union Pacific Corporation,76,53,94,80
The Charles Schwab Corporation,N/A,N/A,N/A,N/A
KKR & Co. Inc.,40,60,72,12
Palantir Technologies Inc.,30,2,26,41
"The TJX Companies, Inc.",N/A,N/A,N/A,N/A
Lockheed Martin Corporation,70,86,66,62
Boston Scientific Corporation,81,58,91,78
Citigroup Inc.,87,92,77,92
"Palo Alto Networks, Inc.",45,49,68,24
ConocoPhillips,63,66,74,37
Vertex Pharmaceuticals Incorporated,61,55,95,33
"Automatic Data Processing, Inc.",64,38,65,71
"Arista Networks, Inc.",57,60,53,59
"Fiserv, Inc.",53,48,49,61
Bristol-Myers Squibb Company,78,79,86,64
"Gilead Sciences, Inc.",83,76,87,81
"Micron Technology, Inc.",70,56,79,73
"NIKE, Inc.",69,85,83,35
Chubb Limited,N/A,N/A,N/A,N/A
Medtronic plc,78,77,88,65
Starbucks Corporation,74,83,70,71
"United Parcel Service, Inc.",57,48,63,60
"Marsh & McLennan Companies, Inc.",65,65,66,72
"Analog Devices, Inc.",69,59,69,82
The Boeing Company,N/A,N/A,N/A,N/A
Deere & Company,82,88,82,75
"Prologis, Inc.",74,75,68,78
Intel Corporation,91,90,90,96
Lam Research Corporation,78,71,82,81
The Sherwin-Williams Company,N/A,N/A,N/A,N/A
The Southern Company,N/A,N/A,N/A,N/A
Dell Technologies Inc.,66,83,67,49
"Elevance Health, Inc.",81,85,86,73
The Cigna Group,N/A,N/A,N/A,N/A
Trane Technologies plc,79,68,91,76
"Altria Group, Inc.",88,91,94,76
Cintas Corporation,59,61,62,55
American Tower Corporation,84,83,75,92
"Regeneron Pharmaceuticals, Inc.",58,55,96,24
"Waste Management, Inc.",84,67,89,90
Parker-Hannifin Corporation,64,71,64,57
"Intercontinental Exchange, Inc.",69,66,57,84
GE Vernova Inc.,N/A,N/A,N/A,N/A
"Mondelez International, Inc.",82,86,91,62
KLA Corporation,56,44,57,66
"HCA Healthcare, Inc.",65,65,72,56
"Equinix, Inc.",58,63,61,49
Amphenol Corporation,75,66,73,90
"PayPal Holdings, Inc.",80,66,82,88
Duke Energy Corporation,N/A,N/A,N/A,N/A
Moody's Corporation,N/A,N/A,N/A,N/A
General Dynamics Corporation,N/A,N/A,N/A,N/A
"Synopsys, Inc.",N/A,N/A,N/A,N/A
Welltower Inc.,N/A,N/A,N/A,N/A
"CrowdStrike Holdings, Inc.",N/A,N/A,N/A,N/A
"The PNC Financial Services Group, Inc.",N/A,N/A,N/A,N/A
"Airbnb, Inc.",N/A,N/A,N/A,N/A
"Motorola Solutions, Inc.",N/A,N/A,N/A,N/A
Aon plc,N/A,N/A,N/A,N/A
"Chipotle Mexican Grill, Inc.",N/A,N/A,N/A,N/A
"Cadence Design Systems, Inc.",N/A,N/A,N/A,N/A
CME Group Inc.,N/A,N/A,N/A,N/A
Illinois Tool Works Inc.,N/A,N/A,N/A,N/A
"Marriott International, Inc.",N/A,N/A,N/A,N/A
U.S. Bancorp,N/A,N/A,N/A,N/A
Zoetis Inc.,N/A,N/A,N/A,N/A
McKesson Corporation,N/A,N/A,N/A,N/A
Northrop Grumman Corporation,N/A,N/A,N/A,N/A
TransDigm Group Incorporated,N/A,N/A,N/A,N/A
"Fortinet, Inc.",N/A,N/A,N/A,N/A
"EOG Resources, Inc.",N/A,N/A,N/A,N/A
Colgate-Palmolive Company,N/A,N/A,N/A,N/A
Emerson Electric Co.,N/A,N/A,N/A,N/A
Target Corporation,N/A,N/A,N/A,N/A
"O'Reilly Automotive, Inc.",N/A,N/A,N/A,N/A
Constellation Energy Corporation,N/A,N/A,N/A,N/A
Capital One Financial Corporation,N/A,N/A,N/A,N/A
3M Company,N/A,N/A,N/A,N/A
Ecolab Inc.,N/A,N/A,N/A,N/A
FedEx Corporation,N/A,N/A,N/A,N/A
CSX Corporation,N/A,N/A,N/A,N/A
"The Williams Companies, Inc.",N/A,N/A,N/A,N/A
"Air Products and Chemicals, Inc.",N/A,N/A,N/A,N/A
CVS Health Corporation,N/A,N/A,N/A,N/A
Carrier Global Corporation,N/A,N/A,N/A,N/A
"Simon Property Group, Inc.",N/A,N/A,N/A,N/A
"Becton, Dickinson and Company",N/A,N/A,N/A,N/A
"Autodesk, Inc.",N/A,N/A,N/A,N/A
"Republic Services, Inc.",N/A,N/A,N/A,N/A
Arthur J. Gallagher & Co.,N/A,N/A,N/A,N/A
Royal Caribbean Cruises Ltd.,N/A,N/A,N/A,N/A
General Motors Company,N/A,N/A,N/A,N/A
"ONEOK, Inc.",N/A,N/A,N/A,N/A
Freeport-McMoRan Inc.,N/A,N/A,N/A,N/A
Schlumberger Limited,N/A,N/A,N/A,N/A
Truist Financial Corporation,N/A,N/A,N/A,N/A
Aflac Incorporated,N/A,N/A,N/A,N/A
PACCAR Inc,N/A,N/A,N/A,N/A
"Digital Realty Trust, Inc.",N/A,N/A,N/A,N/A
Hilton Worldwide Holdings Inc.,N/A,N/A,N/A,N/A
"Roper Technologies, Inc.",N/A,N/A,N/A,N/A
Norfolk Southern Corporation,N/A,N/A,N/A,N/A
"Kinder Morgan, Inc.",N/A,N/A,N/A,N/A
"W.W. Grainger, Inc.",N/A,N/A,N/A,N/A
"The Travelers Companies, Inc.",N/A,N/A,N/A,N/A
Sempra,N/A,N/A,N/A,N/A
Public Storage,N/A,N/A,N/A,N/A
Fair Isaac Corporation,N/A,N/A,N/A,N/A
NXP Semiconductors N.V.,N/A,N/A,N/A,N/A
"United Rentals, Inc.",N/A,N/A,N/A,N/A
"MetLife, Inc.",N/A,N/A,N/A,N/A
Johnson Controls International plc,N/A,N/A,N/A,N/A
The Bank of New York Mellon Corporation,N/A,N/A,N/A,N/A
"Charter Communications, Inc.",N/A,N/A,N/A,N/A
PG&E Corporation,N/A,N/A,N/A,N/A
"Copart, Inc.",N/A,N/A,N/A,N/A
Monster Beverage Corporation,N/A,N/A,N/A,N/A
"Ameriprise Financial, Inc.",N/A,N/A,N/A,N/A
"AutoZone, Inc.",N/A,N/A,N/A,N/A
"Paychex, Inc.",N/A,N/A,N/A,N/A
Phillips 66,N/A,N/A,N/A,N/A
"Diamondback Energy, Inc.",N/A,N/A,N/A,N/A
The Allstate Corporation,N/A,N/A,N/A,N/A
"D.R. Horton, Inc.",N/A,N/A,N/A,N/A
Realty Income Corporation,N/A,N/A,N/A,N/A
Marathon Petroleum Corporation,N/A,N/A,N/A,N/A
"L3Harris Technologies, Inc.",N/A,N/A,N/A,N/A
"American Electric Power Company, Inc.",N/A,N/A,N/A,N/A
"Cencora, Inc.",N/A,N/A,N/A,N/A
Cummins Inc.,N/A,N/A,N/A,N/A
Vistra Corp.,N/A,N/A,N/A,N/A
"Old Dominion Freight Line, Inc.",N/A,N/A,N/A,N/A
"Quanta Services, Inc.",N/A,N/A,N/A,N/A
"Dominion Energy, Inc.",N/A,N/A,N/A,N/A
Fastenal Company,N/A,N/A,N/A,N/A
Newmont Corporation,N/A,N/A,N/A,N/A
MSCI Inc.,N/A,N/A,N/A,N/A
"Fidelity National Information Services, Inc.",N/A,N/A,N/A,N/A
Occidental Petroleum Corporation,N/A,N/A,N/A,N/A
"American International Group, Inc.",N/A,N/A,N/A,N/A
"Ross Stores, Inc.",N/A,N/A,N/A,N/A
Howmet Aerospace Inc.,N/A,N/A,N/A,N/A
TE Connectivity plc,N/A,N/A,N/A,N/A
"Nasdaq, Inc.",N/A,N/A,N/A,N/A
"Axon Enterprise, Inc.",N/A,N/A,N/A,N/A
Kenvue Inc.,N/A,N/A,N/A,N/A
Keurig Dr Pepper Inc.,N/A,N/A,N/A,N/A
"AMETEK, Inc.",N/A,N/A,N/A,N/A
Lennar Corporation,N/A,N/A,N/A,N/A
"Prudential Financial, Inc.",N/A,N/A,N/A,N/A
Discover Financial Services,N/A,N/A,N/A,N/A
Crown Castle Inc.,N/A,N/A,N/A,N/A
Ford Motor Company,N/A,N/A,N/A,N/A
Kimberly-Clark Corporation,N/A,N/A,N/A,N/A
Hess Corporation,N/A,N/A,N/A,N/A
Valero Energy Corporation,N/A,N/A,N/A,N/A
"Constellation Brands, Inc.",N/A,N/A,N/A,N/A
Baker Hughes Company,N/A,N/A,N/A,N/A
Public Service Enterprise Group Incorporated,N/A,N/A,N/A,N/A
The Kroger Co.,N/A,N/A,N/A,N/A
Electronic Arts Inc.,N/A,N/A,N/A,N/A
"Gartner, Inc.",N/A,N/A,N/A,N/A
Targa Resources Corp.,N/A,N/A,N/A,N/A
Ingersoll Rand Inc.,N/A,N/A,N/A,N/A
Corning Incorporated,N/A,N/A,N/A,N/A
"Delta Air Lines, Inc.",N/A,N/A,N/A,N/A
Garmin Ltd.,N/A,N/A,N/A,N/A
"CBRE Group, Inc.",N/A,N/A,N/A,N/A
"Verisk Analytics, Inc.",N/A,N/A,N/A,N/A
Cognizant Technology Solutions Corporation,N/A,N/A,N/A,N/A
Otis Worldwide Corporation,N/A,N/A,N/A,N/A
Lululemon Athletica Inc.,N/A,N/A,N/A,N/A
Xcel Energy Inc.,N/A,N/A,N/A,N/A
"Corteva, Inc.",N/A,N/A,N/A,N/A
Edwards Lifesciences Corporation,N/A,N/A,N/A,N/A
GE HealthCare Technologies Inc.,N/A,N/A,N/A,N/A
IQVIA Holdings Inc.,N/A,N/A,N/A,N/A
The Kraft Heinz Company,N/A,N/A,N/A,N/A
"Agilent Technologies, Inc.",N/A,N/A,N/A,N/A
Exelon Corporation,N/A,N/A,N/A,N/A
